america	0.17209664 0.36693755 0.4609658 965167
austria	0.20892581 0.24834576 0.54258764 7103
canada	0.17639822 0.2993653 0.5242365 82087
emirates	0.23583907 0.3771837 0.3868449 7556
france	0.22986715 0.2985417 0.47159114 115545
germany	0.2105401 0.25931028 0.5301412 118310
iran	0.21224944 0.28017816 0.5075724 4490
italy	0.21502227 0.3387626 0.44621515 68272
mexico	0.22791281 0.35333645 0.41875073 34228
netherlands	0.20340343 0.31384596 0.48275062 47364
spain	0.22440115 0.29297403 0.48258266 23712
